mcm;origin;destination;mobility;upmob;dowmob
3.440020629;1;1;1;1;1
3.49938938;1;1;1;1;1
3.450774124;1;1;1;1;1
3.412382149;1;1;1;1;1
3.516337743;1;1;1;1;1
3.617044865;1;1;1;1;1
3.483555591;1;1;1;1;1
3.463905842;1;1;1;1;1
3.447294959;1;1;1;1;1
3.318531312;1;1;1;1;1
3.325558804;1;1;1;1;1
3.624733723;1;1;1;1;1
3.20123165;1;1;1;1;1
3.34050713;1;1;1;1;1
3.218447412;1;1;1;1;1
3.26268661;1;1;1;1;1
3.391482416;1;1;1;1;1
3.42407095;1;1;1;1;1
3.483608484;1;1;1;1;1
3.681616138;1;1;1;1;1
3.504185792;1;1;1;1;1
3.328811255;1;1;1;1;1
3.534617337;1;1;1;1;1
3.25871616;1;1;1;1;1
3.454078505;1;1;1;1;1
3.382510032;1;1;1;1;1
3.453548451;1;1;1;1;1
3.437477158;1;1;1;1;1
3.400242907;1;1;1;1;1
3.419023884;1;1;1;1;1
3.539693794;1;1;1;1;1
3.263477454;1;1;1;1;1
3.410717316;1;1;1;1;1
3.478319558;1;1;1;1;1
3.461666925;1;1;1;1;1
3.280344264;1;1;1;1;1
3.57393747;1;1;1;1;1
3.273221402;1;1;1;1;1
3.386531354;1;1;1;1;1
3.514684701;1;1;1;1;1
3.298202302;1;1;1;1;1
3.301909421;1;1;1;1;1
3.240275591;1;1;1;1;1
3.450712356;1;1;1;1;1
3.293611262;1;1;1;1;1
3.215445165;1;1;1;1;1
3.490865023;1;1;1;1;1
3.421923999;1;1;1;1;1
3.572610481;1;1;1;1;1
3.249182599;1;1;1;1;1
3.309212696;1;1;1;1;1
3.422904203;1;1;1;1;1
3.420003797;1;1;1;1;1
3.395978245;1;1;1;1;1
3.609183789;1;1;1;1;1
3.377859578;1;1;1;1;1
3.384304105;1;1;1;1;1
3.389972907;1;1;1;1;1
3.476561273;1;1;1;1;1
3.497283204;1;1;1;1;1
3.363703302;1;1;1;1;1
3.191015377;1;1;1;1;1
3.207727972;1;1;1;1;1
3.347053049;1;1;1;1;1
3.343853515;1;1;1;1;1
3.422579802;1;1;1;1;1
3.312312857;1;1;1;1;1
3.340011447;1;1;1;1;1
3.618229033;1;1;1;1;1
3.273781403;1;1;1;1;1
3.334934396;1;1;1;1;1
3.44775567;1;1;1;1;1
3.336893415;1;1;1;1;1
3.567633753;1;1;1;1;1
3.48400453;1;1;1;1;1
3.422322924;1;1;1;1;1
3.273244466;1;1;1;1;1
3.293010274;1;1;1;1;1
3.35533906;1;1;1;1;1
3.442718039;1;1;1;1;1
3.412107896;1;1;1;1;1
3.405027556;1;1;1;1;1
3.296247603;1;1;1;1;1
3.4958631;1;1;1;1;1
3.191324603;1;1;1;1;1
3.364918842;1;1;1;1;1
3.478995723;1;1;1;1;1
3.403942765;1;1;1;1;1
3.466054357;1;1;1;1;1
3.462689486;1;1;1;1;1
3.179021703;1;1;1;1;1
3.454820151;1;1;1;1;1
3.45472653;1;1;1;1;1
3.473563951;1;1;1;1;1
3.518891133;1;1;1;1;1
3.532251222;1;1;1;1;1
3.368730566;1;1;1;1;1
3.254657498;1;1;1;1;1
3.483897098;1;1;1;1;1
3.290642997;1;1;1;1;1
3.474252895;1;1;1;1;1
3.471885498;1;1;1;1;1
3.371951775;1;1;1;1;1
3.323277623;1;1;1;1;1
3.222786309;1;1;1;1;1
3.506405048;1;1;1;1;1
3.294187667;1;1;1;1;1
3.339600961;1;1;1;1;1
3.292492574;1;1;1;1;1
3.467466404;1;1;1;1;1
3.321090291;1;1;1;1;1
3.483190175;1;1;1;1;1
3.405293188;1;1;1;1;1
3.312401748;1;1;1;1;1
3.316535009;1;1;1;1;1
3.474740013;1;1;1;1;1
3.480089794;1;1;1;1;1
3.471226048;1;1;1;1;1
3.493451933;1;1;1;1;1
3.195135633;1;1;1;1;1
3.465059755;1;1;1;1;1
3.396532495;1;1;1;1;1
3.536888345;1;1;1;1;1
3.426984217;1;1;1;1;1
3.329117898;1;1;1;1;1
3.494155623;1;1;1;1;1
3.458052149;1;1;1;1;1
3.620565966;1;1;1;1;1
3.454546558;1;1;1;1;1
3.42589022;1;1;1;1;1
3.327795745;1;1;1;1;1
3.597434928;1;1;1;1;1
3.547697318;1;1;1;1;1
3.374081699;1;1;1;1;1
3.314067858;1;1;1;1;1
3.439329919;1;1;1;1;1
3.582375129;1;1;1;1;1
3.458939668;1;1;1;1;1
3.273416636;1;1;1;1;1
3.316874944;1;1;1;1;1
3.343403921;1;1;1;1;1
3.32694075;1;1;1;1;1
3.354298297;1;1;1;1;1
3.35674482;1;1;1;1;1
3.37141025;1;1;1;1;1
3.578611833;1;1;1;1;1
3.445394181;1;1;1;1;1
3.454816533;1;1;1;1;1
3.424983318;1;1;1;1;1
3.671922929;1;1;1;1;1
3.471623849;1;1;1;1;1
3.29885602;1;1;1;1;1
3.342291491;1;1;1;1;1
3.443603832;1;1;1;1;1
3.45915517;1;1;1;1;1
3.453790864;1;1;1;1;1
3.306357492;1;1;1;1;1
3.404948503;1;1;1;1;1
3.295666164;1;1;1;1;1
3.468876869;1;1;1;1;1
3.284910597;1;1;1;1;1
3.440064785;1;1;1;1;1
3.251860352;1;1;1;1;1
3.363191475;1;1;1;1;1
3.196827175;1;1;1;1;1
3.255675842;1;1;1;1;1
3.26610615;1;1;1;1;1
3.329595372;1;1;1;1;1
3.251418225;1;1;1;1;1
3.474601708;1;1;1;1;1
3.412307209;1;1;1;1;1
3.415543639;1;1;1;1;1
3.369557957;1;1;1;1;1
3.44069265;1;1;1;1;1
3.582710556;1;1;1;1;1
3.394580771;1;1;1;1;1
3.413053616;1;1;1;1;1
3.330570432;1;1;1;1;1
3.418955541;1;1;1;1;1
3.368934766;1;1;1;1;1
3.384804277;1;1;1;1;1
3.448053401;1;1;1;1;1
3.445736125;1;1;1;1;1
3.28667134;1;1;1;1;1
3.348604965;1;1;1;1;1
3.383361704;1;1;1;1;1
3.422202767;1;1;1;1;1
3.393549962;1;1;1;1;1
3.349549333;1;1;1;1;1
3.209446616;1;1;1;1;1
3.300037877;1;1;1;1;1
3.452039848;1;1;1;1;1
3.330483737;1;1;1;1;1
3.382097531;1;1;1;1;1
3.211961456;1;1;1;1;1
3.40100131;1;1;1;1;1
3.56749949;1;1;1;1;1
3.417649325;1;1;1;1;1
3.369608194;1;1;1;1;1
3.327762477;1;1;1;1;1
3.423736731;1;1;1;1;1
3.506010246;1;1;1;1;1
3.449278071;1;1;1;1;1
3.426397016;1;1;1;1;1
3.42376111;1;1;1;1;1
3.335010379;1;1;1;1;1
3.412959588;1;1;1;1;1
3.461968835;1;1;1;1;1
3.498947869;1;1;1;1;1
3.451265879;1;1;1;1;1
3.279793374;1;1;1;1;1
3.334863098;1;1;1;1;1
3.36238961;1;1;1;1;1
3.586556574;1;1;1;1;1
3.303610345;1;1;1;1;1
3.273593668;1;1;1;1;1
3.420203064;1;1;1;1;1
3.355870618;1;1;1;1;1
3.462983682;1;1;1;1;1
3.349497709;1;1;1;1;1
3.419683525;1;1;1;1;1
3.321232447;1;1;1;1;1
3.334259696;1;1;1;1;1
3.507357136;1;1;1;1;1
3.409219352;1;1;1;1;1
3.378695736;1;1;1;1;1
3.373259859;1;1;1;1;1
3.367050269;1;1;1;1;1
3.471314902;1;1;1;1;1
3.308826765;1;1;1;1;1
3.284253941;1;1;1;1;1
3.36225685;1;1;1;1;1
3.393321844;1;1;1;1;1
3.387802189;1;1;1;1;1
3.305892563;1;1;1;1;1
3.309883249;1;1;1;1;1
3.33944528;1;1;1;1;1
3.436542412;1;1;1;1;1
3.480881017;1;1;1;1;1
3.463432419;1;1;1;1;1
3.458725953;1;1;1;1;1
3.533891358;1;1;1;1;1
3.564092515;1;1;1;1;1
3.320557077;1;1;1;1;1
3.512790963;1;1;1;1;1
3.43605772;1;1;1;1;1
3.456143477;1;1;1;1;1
3.412100912;1;1;1;1;1
3.376373378;1;1;1;1;1
3.316690007;1;1;1;1;1
3.306512689;1;1;1;1;1
3.357379378;1;1;1;1;1
3.390888899;1;1;1;1;1
3.380909643;1;1;1;1;1
3.361330033;1;1;1;1;1
3.353412712;1;1;1;1;1
3.465813715;1;1;1;1;1
3.208872179;1;1;1;1;1
3.360011091;1;1;1;1;1
3.452918891;1;1;1;1;1
3.462580247;1;1;1;1;1
3.447910281;1;1;1;1;1
3.309107824;1;1;1;1;1
3.281393541;1;1;1;1;1
3.443308521;1;1;1;1;1
3.345633201;1;1;1;1;1
3.515811441;1;1;1;1;1
3.320500858;1;1;1;1;1
3.22060821;1;1;1;1;1
3.370310002;1;1;1;1;1
3.240196689;1;1;1;1;1
3.573557578;1;1;1;1;1
3.592180196;1;1;1;1;1
3.364977635;1;1;1;1;1
3.472321411;1;1;1;1;1
3.396309355;1;1;1;1;1
3.496248071;1;1;1;1;1
3.521184293;1;1;1;1;1
3.501517167;1;1;1;1;1
3.32450024;1;1;1;1;1
3.375878508;1;1;1;1;1
3.400243455;1;1;1;1;1
3.423316507;1;1;1;1;1
3.485368107;1;1;1;1;1
3.284884169;1;1;1;1;1
3.368213075;1;1;1;1;1
3.39137688;1;1;1;1;1
3.234045706;1;1;1;1;1
3.50210966;1;1;1;1;1
3.330058507;1;1;1;1;1
3.459245949;1;1;1;1;1
3.507075347;1;1;1;1;1
3.280332706;1;1;1;1;1
3.408361759;1;1;1;1;1
3.553624711;1;1;1;1;1
3.307981172;1;1;1;1;1
3.475862573;1;1;1;1;1
3.511145316;1;1;1;1;1
3.364768313;1;1;1;1;1
3.277813747;1;1;1;1;1
3.449356061;1;1;1;1;1
3.390165481;1;1;1;1;1
3.266517006;1;1;1;1;1
3.395643307;1;1;1;1;1
3.40222634;1;1;1;1;1
3.362190369;1;1;1;1;1
3.424592752;1;1;1;1;1
3.427214875;1;1;1;1;1
3.463822408;1;1;1;1;1
3.443177159;1;1;1;1;1
3.298298443;1;1;1;1;1
3.382309472;1;1;1;1;1
3.281742501;1;1;1;1;1
3.40362529;1;1;1;1;1
3.413588045;1;1;1;1;1
3.328135721;1;1;1;1;1
3.473517368;1;1;1;1;1
3.121783545;1;1;1;1;1
3.29202223;1;1;1;1;1
3.366894464;1;1;1;1;1
3.461294965;1;1;1;1;1
3.298417444;1;1;1;1;1
3.223309265;1;1;1;1;1
3.443029354;1;1;1;1;1
3.422288862;1;1;1;1;1
